id,comment_text,toxic,severe_toxic,obscene,threat,insult,identiti_hate
1,I will kill you,1,0,0,1,0,0
2,"you should just die, and leave us alone",1,1,0,0,0,1
3,Hey there how are you,0,0,0,0,0,0
4,good morning,0,0,0,0,0,0
5,You are an idiot,1,0,0,0,0,1
6,good night,0,0,0,0,0,0
7,have a good day,0,0,0,0,0,0
8,I don't like your videos but I don't dislike them either,0,0,0,0,0,0
9,are you a moron,0,0,0,0,1,0
10,The Mitsurugi point made no sense - why not argue to include Hindi on Ryo Sakazaki's page to include more information?,0,0,0,0,0,0
11,"Don't mean to bother you 

I see that you're writing something regarding removing anything posted here and if you do oh well but if not and you can acctually discuss this with me then even better.

I'd like to ask you to take a closer look at the Premature wrestling deaths catagory and the men listed in it, surely these men belong together in some catagory. Is there anything that you think we can do with the catagory besides delting it?",0,0,0,0,0,0
12,Not sure about a heading of 'Fight for Freedom' what will it contain?,0,0,0,0,0,0
13,"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",1,0,1,0,1,1
14,"I don't believe the Lisak criticism present there conforms with the NPV rule.  Lisak doesn't have a neutral point of view to begin with.  If an offer to polygraph or even concerned review of polygraph results shocks a complainant into thinking her lies have been uncovered, the recantation is still perfectly valid.  If you know you are telling the truth, you will argue with machine or investigator.  Also part of Kanin's research was a followup of the recanted story where possible to verify if any were false recantations.  In all followups the recanted version of events matched what the accused said happened.

Arguing that Lisak is a respected PHD is baseless if Kanin is a respected PHD.  I agree that my edit wasn't as neutral as possible though, so apologize for that.  Still something must be done here.",0,0,0,0,0,0
15,Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!,1,1,1,0,1,0
16,"Locking this page would also violate WP:NEWBIES.  Whether you like it or not, conservatives are Wikipedians too.",0,0,0,0,0,0
17,"All of my edits are good.  Cunts like you who revert good edits because you're too stupid to understand how to write well , and then revert other edits just because you've decided to bear a playground grudge, are the problem.  Maybe one day you'll realise the damage you did to a noble project.  201.215.187.159",1,0,1,0,1,1
18,"I went there around the same time he did, and that certainly was not the case at the time. Later on they stopped taking children from such a young age.",0,0,0,0,0,0
19,"Would you both shut up, you don't run wikipedia, especially a stupid kid.",1,0,0,0,1,0
20,"Thanks much - however, if it's been resolved, why is it that today, when I didn't write anything in edit summary, CAMERA put its ad in my edit summary box?1equalvoice1 (talk)",0,0,0,0,0,0
21,Including some appropriate mention of the Solomon article is not without some level of support .,0,0,0,0,0,0
22,I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,1,0,1,0,1,1
23,"Sorry, the link you gave me is dead. And I formatted in harvnb, so plz help in that matter.",0,0,0,0,0,0
24,"Correct, Dead is dead. There are, however, leves of wounds, hence the emphasis when they are serious. This is not a POV adjective.",0,0,0,0,0,0
25,"Kill all niggers. 

I have hard, that others have said this.. should this be included? That racists sometimes say these.",1,0,1,0,1,1
26,I've explained my reasoning for this block at User_talk:Gwen_Gale#User:Professional_Assassin.,0,0,0,0,0,0
27,When an article is created about that album then a disambiguation page will be created.,0,0,0,0,0,0
28,"Your retarded bot 

Your bot is entirely automated, that is wrong.  You should not leave an unattented script just running through the site like that, it is idiotic of you to suppose that your scripting abilities are so perfect that they will only ever make proper edits.  Banning me doesn't help anything, dipshit, since I have as many IPs as I want.",1,0,0,0,1,0
29,"two reversions on Hezbollah 

Could you explain on the talk page why you have reverted my edit twice?",0,0,0,0,0,0
30,DISLIKE RACISM AND I CAN SEE THAT YOU HAS PROBLEMS WITH PEOPLE WHO SPEAKS SPANISH. YOU ARE AN ANTISEMITE TOO.,0,0,0,0,0,0
31,"Title section revert 

Hi, I was at the office earlier and I hadn't noticed your warning before restoring the title of the section. I'm sorry for that. Of course I won't do such a revert again.

Just to clarify, I've opened a new section to indeed alert some contributors that they were behaving in a way in line with the examples of ownership behaviour as described here. In return the title of the section has been twisted to something unrelated and one of my message has been erased. It is the first time I see people editing other's signed contributions in a talk page. This just looks crazy to me.",0,0,0,0,0,0
32,"Noel, you are an expert.  Please convince Whig history fans (or the lazy minds) about how Bonnie Prince Charlie did not want to dissolve the Union, that the United Kingdom began with the Stuarts as opposed to the Hanoverians.  Tell them how the Whigs rewrote history to blame everything on the Stuarts, whom are credited as ultimate failures with no positive contributions to the foundations of Great Britain in their Stewart and Tudor blood.  The Sovereign's will is the Realm, or else it is not a kingdom.  The British might as well be living in a republic, at least if the Parliamentarians had their way.  Even the Hanoverian heirs recognise that the Stuarts founded the UK.  Please debate that here & thanks.",0,0,0,0,0,0
33,"I'm Sorry 

I'm sorry I screwed around with someones talk page.  It was very bad to do.  I know how having the templates on their talk page helps you assert your dominance over them.  I know I should bow down to the almighty administrators.  But then again, I'm going to go play outside....with your mom.   76.122.79.82",0,0,0,0,0,0
34,"I don't believe the Lisak criticism present there conforms with the NPV rule.  Lisak doesn't have a neutral point of view to begin with.  If an offer to polygraph or even concerned review of polygraph results shocks a complainant into thinking her lies have been uncovered, the recantation is still perfectly valid.  If you know you are telling the truth, you will argue with machine or investigator.  Also part of Kanin's research was a followup of the recanted story where possible to verify if any were false recantations.  In all followups the recanted version of events matched what the accused said happened.

Arguing that Lisak is a respected PHD is baseless if Kanin is a respected PHD.  I agree that my edit wasn't as neutral as possible though, so apologize for that.  Still something must be done here.",0,0,0,0,0,0
35,"Hi Explicit, can you block O Fenian for edit-warring on the Giant's Causeway wp. He has made several edits which can only be described as terrorism.",0,0,0,0,0,0
36,"You had a point, and it's now ammended with appropriate encyclopedic notability/significance.",0,0,0,0,0,0
37,"In other words, you're too lazy to actually point anything out. Until you change that approach, the tag goes.",0,0,0,0,0,0
38,"I tend to think that when the list is longer than the rest of the article, there's a problem.  Either the history and characteristics should be expanded, of the list should be culled.  I personally like the consensus that was reached in the Tripel article between  and others...myself included.  We decided that the country of origin should be highlighted with the most examples.  There we did Trappist, Abbey, and Foreign.  Foreign includes all non-Belgium examples.  This way the article is an article in an encyclopedia, not a list.  People can find lists anywhere, and the article should reference this.  Also, the style statistics are bad.  When you say style statistics, it sounds like a prescription, not a description.  An encyclopedia should follow the latter, and if the former is used, a citation should follow...And you'll not find a valid one for this style in it's country of origin.",0,0,0,0,0,0
39,"I'm not vandalizing  

I'm just having fun man, you have no sense of humor if you think I'm vandalizing stuff. lemonparty.org=this site now",0,0,0,0,0,0
40,"Welcome to Wikipedia ! [bla] Discover Ekopedia, the practical encyclopedia about alternative life techniques. 

 
[bla] Discover Ekopedia, the practical encyclopedia about alternative life techniques.",0,0,0,0,0,0
41,Including some appropriate mention of the Solomon article is not without some level of support .,0,0,0,0,0,0
42,"Thanks, Josette. I enjoyed meeting you, too. I was shocked by the decision, which does not begin to reflect consensus. Does just one Grand Poobah make it alone? Serves me right for stealing time from more pressing real-world duties to indulge in a fun hobby. I've learned my lesson and won't waste time like that again. I'll stick to fixing the little things I run across as I read articles for my own information.",0,0,0,0,0,0
43,"Paleontologists agree that organic remains must be buried quickly so they can be preserved long enough to be come fossilized.  However, the term fossilized is not a very precise term.  There are several factors and metamorphic mineral processes which occur to organic remains that result in what is typically called a fossil.  One major factor concerns what kind of organisms are to be fossilized  vertebrate, invertebrates, radiolarians, sponges, plants, pollen, foot prints, etc.  And multiple processes may include permineralization, recrystalization, carbonization, replacement, dissolving, diagenesis, etc.  Talking about fossilization is a complex issue, however quick burial is not questioned.

The major question is, how long does it take for these processes to work on organic reamins in the environment they are found in?  Experimental taphonomy has resulted in an assortment of remains becoming fossilized by various processes in the lab, which of course implies that given the right conditions, vast ages are not an issue.  The metamorphic processes are ongoing until an equilibrium is met between the chemical enviroument of the burial site and the minerals of the organic remains.  Flood catastrophic geologists do not expect that organic remains buried during the flood were completely fossilized within the one year period of the flood, but rather that there has been some 4000 years for the processes to have been working.  Much more work needs to be done on the taphonomy of organic remains.  Yet, how one interprets even those results will depend upon which world view you choose to believe with.",0,0,0,0,0,0
